RowType,Ticket,SignalID,Pattern,Direction,Source,Regime,Quality,Session,EngineName,EngineMode,DayType,Confluence,Spread,Slippage,ConfirmationUsed,BarTime,EntryTime,EntryPrice,OriginalSL,CurrentSL,OriginalTP1,TP2,RiskPct,LotSize,RiskDistance,RequestedEntryPrice,ExecutedEntryPrice,EntryBalance,EntryRiskMoney,OriginalLots,RemainingLots,Stage,ExitRegimeClass,ExitBETrigger,ExitChandelier,ExitTP0Dist,ExitTP0Vol,ExitTP1Dist,ExitTP1Vol,ExitTP2Dist,ExitTP2Vol,ExitTime,ExitPrice,PnL_Money,PnL_R,HoldingHours,MAE,MFE,MAE_R,MFE_R,PartialCloseCount,PartialRealized_PnL,PartialRealized_R,TP0_Time,TP1_Time,TP1_Lots,TP1_PnL,TP2_Time,TP2_Lots,TP2_PnL,BE_Time,TrailInternalUpdates,TrailBrokerUpdates,TrailBrokerFailures,LastTrailTime,LastTrailReason,MaxLockedR,ExitRequestTime,ExitRequestReason,ExitRequestPrice,ExitReason,Result,Runner_PnL,Runner_R,TP0_PnL,TP0_R,Total_PnL,Total_R,WouldBeFlatWithoutTP0,Reached05R,Reached10R,PeakR_BeforeBE,BE_Before_TP1,TP0_Closed,TP0_Lots,EarlyExit,EarlyExitReason,LossAvoided_R,LossAvoided_Money,RunnerExitMode,RunnerPromotedInTrade,RunnerPromotionTime,TrailSendPolicy,LastTrailGateReason,EffectiveChandelierMult,LiveChandelierMult,EntryLockedChandelierMult,LastBrokerTrailTime
ENTRY,2,2019.01.03 08:00|MACrossEntry|LONG|8,Bullish MA Cross (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,LONDON,MACrossEntry,MODE_NONE,DAY_TREND,0,6.00,0.00,YES,2019.01.03 09:00,2019.01.03 09:00,1292.15,1284.59,1284.59,1319.27,1339.60,0.92,0.12,7.56,1292.15,1292.15,9999.64,92.00,0.12,0.12,INITIAL,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_ENTRY_LOCKED,NO,,TRAIL_SEND_RUNNER_POLICY,ENTRY_RUNNER_MODE,3.50,3.50,3.50,
EXIT,2,2019.01.03 08:00|MACrossEntry|LONG|8,Bullish MA Cross (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,LONDON,MACrossEntry,MODE_NONE,DAY_TREND,0,6.00,0.00,YES,2019.01.03 09:00,2019.01.03 09:00,1292.15,1284.59,1291.81,1319.27,1339.60,0.92,0.12,7.56,1292.15,1292.15,9999.64,92.00,0.12,0.11,TP0_HIT,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,2019.01.04 11:34,1290.01,-27.56,-0.30,26.6,7.55,6.39,1.00,0.85,1,4.54,0.05,2019.01.04 03:03,,0.00,0.00,,0.00,0.00,,9,2,0,2019.01.04 09:00,Chandelier Trail: SL=1291.81 (ATRx3.5),0.00,,,0.00,,LOSS,-32.10,-0.35,4.54,0.05,-27.56,-0.30,NO,YES,NO,0.85,NO,YES,0.01,NO,,0.00,0.00,RUNNER_EXIT_ENTRY_LOCKED,NO,,TRAIL_SEND_RUNNER_POLICY,RUNNER_WAIT_STEP,3.50,3.50,3.50,2019.01.04 04:00
ENTRY,5,2019.01.07 02:00|PinBarEntry|SHORT|11,Bearish Pin Bar,SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,0,6.00,0.00,NO,2019.01.07 02:00,2019.01.07 02:00,1284.26,1292.26,1292.26,1273.86,1269.86,0.42,0.05,8.00,1284.26,1284.26,9971.93,41.88,0.05,0.05,INITIAL,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.00,3.00,3.00,
EXIT,5,2019.01.07 02:00|PinBarEntry|SHORT|11,Bearish Pin Bar,SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,0,6.00,0.00,NO,2019.01.07 02:00,2019.01.07 02:00,1284.26,1292.26,1287.60,1273.86,1269.86,0.42,0.05,8.00,1284.26,1284.26,9971.93,41.88,0.05,0.05,INITIAL,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,2019.01.07 03:22,1287.63,-17.00,-0.41,1.4,3.33,1.51,0.42,0.19,0,0.00,0.00,,,0.00,0.00,,0.00,0.00,,1,1,0,2019.01.07 02:18,Chandelier Trail: SL=1287.60 (ATRx3.5),0.00,,,0.00,,LOSS,-17.00,-0.41,0.00,0.00,-17.00,-0.41,NO,NO,NO,0.19,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.00,2019.01.07 02:18
ENTRY,7,2019.01.07 09:00|MACrossEntry|LONG|13,Bullish MA Cross (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,LONDON,MACrossEntry,MODE_NONE,DAY_TREND,0,7.00,0.00,YES,2019.01.07 10:00,2019.01.07 10:00,1291.50,1285.97,1285.97,1302.95,1310.58,0.92,0.16,5.53,1291.50,1291.50,9954.45,91.58,0.16,0.16,INITIAL,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_ENTRY_LOCKED,NO,,TRAIL_SEND_RUNNER_POLICY,ENTRY_RUNNER_MODE,3.50,3.50,3.50,
EXIT,7,2019.01.07 09:00|MACrossEntry|LONG|13,Bullish MA Cross (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,LONDON,MACrossEntry,MODE_NONE,DAY_TREND,0,7.00,0.00,YES,2019.01.07 10:00,2019.01.07 10:00,1291.50,1285.97,1288.13,1302.95,1310.58,0.92,0.16,5.53,1291.50,1291.50,9954.45,91.58,0.16,0.16,INITIAL,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,2019.01.07 17:41,1288.13,-54.40,-0.59,7.7,3.35,3.58,0.61,0.65,0,0.00,0.00,,,0.00,0.00,,0.00,0.00,,1,1,0,2019.01.07 16:00,Chandelier Trail: SL=1288.13 (ATRx3.5),0.00,,,0.00,,LOSS,-54.40,-0.59,0.00,0.00,-54.40,-0.59,NO,YES,NO,0.65,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_ENTRY_LOCKED,NO,,TRAIL_SEND_RUNNER_POLICY,RUNNER_H1_CADENCE,3.50,3.50,3.50,2019.01.07 16:00
ENTRY,9,2019.01.22 03:00|PinBarEntry|SHORT|27,Bearish Pin Bar,SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,0,6.00,0.00,NO,2019.01.22 03:00,2019.01.22 03:00,1279.45,1287.45,1287.45,1269.05,1265.05,0.79,0.09,8.00,1279.45,1279.45,9899.78,77.96,0.09,0.09,INITIAL,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
EXIT,9,2019.01.22 03:00|PinBarEntry|SHORT|27,Bearish Pin Bar,SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,0,6.00,0.00,NO,2019.01.22 03:00,2019.01.22 03:00,1279.45,1287.45,1281.46,1269.05,1265.05,0.79,0.09,8.00,1279.45,1279.45,9899.78,77.96,0.09,0.09,INITIAL,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,2019.01.22 09:22,1281.46,-18.36,-0.24,6.4,2.00,1.94,0.25,0.24,0,0.00,0.00,,,0.00,0.00,,0.00,0.00,,2,2,0,2019.01.22 05:00,Chandelier Trail: SL=1281.46 (ATRx3.5),0.00,,,0.00,,LOSS,-18.36,-0.24,0.00,0.00,-18.36,-0.24,NO,NO,NO,0.24,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,2019.01.22 05:00
ENTRY,11,2019.01.28 17:00|EngulfingEntry|LONG|35,Bullish Engulfing (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,NEWYORK,EngulfingEntry,MODE_NONE,DAY_TREND,0,6.00,0.00,YES,2019.01.28 18:00,2019.01.28 18:00,1302.61,1294.15,1294.15,1330.43,1351.30,0.84,0.09,8.46,1302.61,1302.61,9881.15,83.00,0.09,0.09,INITIAL,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_ENTRY_LOCKED,NO,,TRAIL_SEND_RUNNER_POLICY,ENTRY_RUNNER_MODE,3.50,3.50,3.50,
ENTRY,12,2019.01.29 08:00|PinBarEntry|LONG|38,Bullish Pin Bar (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A,LONDON,PinBarEntry,MODE_NONE,DAY_TREND,0,6.00,0.00,YES,2019.01.29 09:00,2019.01.29 09:00,1305.15,1296.20,1296.20,1326.22,1340.27,0.84,0.09,8.95,1305.15,1305.15,9880.88,83.00,0.09,0.09,INITIAL,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
EXIT,12,2019.01.29 08:00|PinBarEntry|LONG|38,Bullish Pin Bar (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A,LONDON,PinBarEntry,MODE_NONE,DAY_TREND,0,6.00,0.00,YES,2019.01.29 09:00,2019.01.29 09:00,1305.15,1296.20,1310.48,1326.22,1340.27,0.84,0.09,8.95,1305.15,1305.15,9880.88,83.00,0.09,0.08,TP0_HIT,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,2019.01.30 15:25,1310.48,42.66,0.51,30.4,0.38,10.80,0.04,1.21,1,6.24,0.08,2019.01.29 15:18,,0.00,0.00,,0.00,0.00,,9,9,0,2019.01.30 08:00,Chandelier Trail: SL=1310.48 (ATRx3.5),0.60,,,0.00,,WIN,36.42,0.44,6.24,0.08,42.66,0.51,NO,YES,YES,1.21,NO,YES,0.01,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,2019.01.30 08:00
EXIT,11,2019.01.28 17:00|EngulfingEntry|LONG|35,Bullish Engulfing (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,NEWYORK,EngulfingEntry,MODE_NONE,DAY_TREND,0,6.00,0.00,YES,2019.01.28 18:00,2019.01.28 18:00,1302.61,1294.15,1310.92,1330.43,1351.30,0.84,0.09,8.46,1302.61,1302.61,9881.15,83.00,0.09,0.05,TP1_HIT,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,2019.01.30 20:45,1309.06,63.27,0.76,50.8,0.69,13.34,0.08,1.58,2,38.64,0.47,2019.01.29 10:40,2019.01.30 07:58,0.03,33.49,,0.00,0.00,2019.01.30 04:00,17,5,0,2019.01.30 12:00,Chandelier Trail: SL=1310.92 (ATRx3.5),0.98,,,0.00,,WIN,24.63,0.30,5.15,0.06,63.27,0.76,NO,YES,YES,1.34,YES,YES,0.01,NO,,0.00,0.00,RUNNER_EXIT_ENTRY_LOCKED,NO,,TRAIL_SEND_RUNNER_POLICY,RUNNER_WAIT_STEP,3.50,3.50,3.50,2019.01.30 07:00
ENTRY,18,2019.01.31 10:00|EngulfingEntry|LONG|44,Bullish Engulfing (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A,LONDON,EngulfingEntry,MODE_NONE,DAY_TREND,0,6.00,0.00,YES,2019.01.31 11:00,2019.01.31 11:00,1320.71,1312.54,1312.54,1347.58,1367.73,0.84,0.10,8.17,1320.71,1320.71,9986.51,83.89,0.10,0.10,INITIAL,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
EXIT,18,2019.01.31 10:00|EngulfingEntry|LONG|44,Bullish Engulfing (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A,LONDON,EngulfingEntry,MODE_NONE,DAY_TREND,0,6.00,0.00,YES,2019.01.31 11:00,2019.01.31 11:00,1320.71,1312.54,1320.42,1347.58,1367.73,0.84,0.10,8.17,1320.71,1320.71,9986.51,83.89,0.10,0.10,INITIAL,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,2019.01.31 18:43,1320.42,-3.20,-0.04,7.7,0.67,5.57,0.08,0.68,0,0.00,0.00,,,0.00,0.00,,0.00,0.00,,5,5,0,2019.01.31 16:00,Chandelier Trail: SL=1320.42 (ATRx3.5),0.00,,,0.00,,LOSS,-3.20,-0.04,0.00,0.00,-3.20,-0.04,NO,YES,NO,0.68,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,2019.01.31 16:00
ENTRY,20,2019.02.07 03:00|PinBarEntry|SHORT|51,Bearish Pin Bar,SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,0,10.00,0.00,NO,2019.02.07 03:00,2019.02.07 03:00,1306.77,1314.77,1314.77,1296.37,1292.37,0.84,0.10,8.00,1306.77,1306.77,9983.01,83.86,0.10,0.10,INITIAL,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.00,3.00,3.00,
EXIT,20,2019.02.07 03:00|PinBarEntry|SHORT|51,Bearish Pin Bar,SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,0,10.00,0.00,NO,2019.02.07 03:00,2019.02.07 03:00,1306.77,1314.77,1307.33,1296.37,1292.37,0.84,0.10,8.00,1306.77,1306.77,9983.01,83.86,0.10,0.10,INITIAL,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,2019.02.07 12:33,1307.36,-6.20,-0.07,9.6,0.78,3.92,0.10,0.49,0,0.00,0.00,,,0.00,0.00,,0.00,0.00,,5,5,0,2019.02.07 11:00,Chandelier Trail: SL=1307.33 (ATRx3.0),0.00,,,0.00,,LOSS,-6.20,-0.07,0.00,0.00,-6.20,-0.07,NO,NO,NO,0.49,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.00,3.00,3.00,2019.02.07 11:00
ENTRY,22,2019.02.18 14:00|PinBarEntry|LONG|59,Bullish Pin Bar (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,NEWYORK,PinBarEntry,MODE_NONE,DAY_TREND,0,9.00,0.00,YES,2019.02.18 15:00,2019.02.18 15:00,1326.06,1316.99,1316.99,1347.42,1361.65,0.84,0.09,9.07,1326.06,1326.06,9976.54,83.80,0.09,0.09,INITIAL,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
