SignalID,BarTime,Side,EngineName,EngineMode,RawScore,Tier,Ax1_HTFDraw,Ax2_PremDisc,Ax3_EntryZone,Ax4_Sweep,Ax5_Confirm,Ax6_Flow,Ax7_Killzone,IsNewsDay,HTFShortVetoApplied
2022.01.04 14:00|ReversalSweepEngine|SHORT,2022.01.04 14:00,SHORT,ReversalSweepEngine,MODE_SFP,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.01.04 15:00|ReversalSweepEngine|SHORT,2022.01.04 15:00,SHORT,ReversalSweepEngine,MODE_SFP,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.01.06 08:00|ExpansionEngine|SHORT,2022.01.06 08:00,SHORT,ExpansionEngine,MODE_LONDON_BREAKOUT,6,SETUP_B_PLUS,1,2,0,0,1,1,1,NO,NO
2022.01.18 13:00|RangeReversionEngine|LONG,2022.01.18 13:00,LONG,RangeReversionEngine,MODE_FVG_MITIGATION,3,SETUP_B,1,0,0,0,1,1,0,NO,NO
2022.02.16 11:00|ReversalSweepEngine|SHORT,2022.02.16 11:00,SHORT,ReversalSweepEngine,MODE_SFP,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,YES
2022.02.28 02:00|ReversalSweepEngine|SHORT,2022.02.28 02:00,SHORT,ReversalSweepEngine,MODE_SFP,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,YES
2022.02.28 03:00|ReversalSweepEngine|SHORT,2022.02.28 03:00,SHORT,ReversalSweepEngine,MODE_SFP,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,YES
2022.03.01 18:00|RangeReversionEngine|SHORT,2022.03.01 18:00,SHORT,RangeReversionEngine,MODE_FVG_MITIGATION,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,YES
2022.03.01 20:00|RangeReversionEngine|SHORT,2022.03.01 20:00,SHORT,RangeReversionEngine,MODE_FVG_MITIGATION,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,YES
2022.05.12 17:00|ExpansionEngine|SHORT,2022.05.12 17:00,SHORT,ExpansionEngine,MODE_COMPRESSION_BO,3,SETUP_B,1,0,0,0,0,1,1,NO,NO
2022.05.18 18:00|ReversalSweepEngine|LONG,2022.05.18 18:00,LONG,ReversalSweepEngine,MODE_FAILED_BREAK,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.05.19 14:00|RangeReversionEngine|SHORT,2022.05.19 14:00,SHORT,RangeReversionEngine,MODE_FVG_MITIGATION,3,SETUP_B,1,0,0,0,1,1,0,NO,NO
2022.05.19 15:00|RangeReversionEngine|SHORT,2022.05.19 15:00,SHORT,RangeReversionEngine,MODE_FVG_MITIGATION,3,SETUP_B,1,0,0,0,1,1,0,NO,NO
2022.05.19 17:00|RangeReversionEngine|SHORT,2022.05.19 17:00,SHORT,RangeReversionEngine,MODE_FVG_MITIGATION,3,SETUP_B,1,0,0,0,1,1,0,NO,YES
2022.06.06 18:00|ReversalSweepEngine|SHORT,2022.06.06 18:00,SHORT,ReversalSweepEngine,MODE_SFP,6,SETUP_B_PLUS,1,2,0,1,1,1,0,NO,NO
2022.06.07 15:00|ReversalSweepEngine|SHORT,2022.06.07 15:00,SHORT,ReversalSweepEngine,MODE_SFP,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.06.07 16:00|ReversalSweepEngine|SHORT,2022.06.07 16:00,SHORT,ReversalSweepEngine,MODE_SFP,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.06.07 17:00|ReversalSweepEngine|SHORT,2022.06.07 17:00,SHORT,ReversalSweepEngine,MODE_SFP,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.06.27 19:00|ReversalSweepEngine|LONG,2022.06.27 19:00,LONG,ReversalSweepEngine,MODE_SFP,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.06.28 20:00|RangeReversionEngine|LONG,2022.06.28 20:00,LONG,RangeReversionEngine,MODE_OB_RETEST,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.06.29 01:00|RangeReversionEngine|LONG,2022.06.29 01:00,LONG,RangeReversionEngine,MODE_OB_RETEST,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.06.29 08:00|RangeReversionEngine|LONG,2022.06.29 08:00,LONG,RangeReversionEngine,MODE_OB_RETEST,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.06.29 09:00|RangeReversionEngine|LONG,2022.06.29 09:00,LONG,RangeReversionEngine,MODE_OB_RETEST,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.06.29 11:00|RangeReversionEngine|LONG,2022.06.29 11:00,LONG,RangeReversionEngine,MODE_FVG_MITIGATION,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.06.29 12:00|RangeReversionEngine|LONG,2022.06.29 12:00,LONG,RangeReversionEngine,MODE_FVG_MITIGATION,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.06.30 10:00|RangeReversionEngine|LONG,2022.06.30 10:00,LONG,RangeReversionEngine,MODE_OB_RETEST,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.06.30 12:00|RangeReversionEngine|LONG,2022.06.30 12:00,LONG,RangeReversionEngine,MODE_OB_RETEST,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.07.11 13:00|ExpansionEngine|SHORT,2022.07.11 13:00,SHORT,ExpansionEngine,MODE_COMPRESSION_BO,3,SETUP_B,1,0,0,0,0,1,1,NO,NO
2022.07.20 23:00|ExpansionEngine|SHORT,2022.07.20 23:00,SHORT,ExpansionEngine,MODE_COMPRESSION_BO,2,SETUP_NONE,0,0,0,0,0,1,1,NO,NO
2022.07.21 16:00|ReversalSweepEngine|LONG,2022.07.21 16:00,LONG,ReversalSweepEngine,MODE_SFP,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.07.21 17:00|ReversalSweepEngine|LONG,2022.07.21 17:00,LONG,ReversalSweepEngine,MODE_SFP,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.07.28 18:00|ReversalSweepEngine|SHORT,2022.07.28 18:00,SHORT,ReversalSweepEngine,MODE_RUBBER_BAND,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,YES
2022.07.28 19:00|ReversalSweepEngine|SHORT,2022.07.28 19:00,SHORT,ReversalSweepEngine,MODE_RUBBER_BAND,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,YES
2022.08.17 10:00|ReversalSweepEngine|SHORT,2022.08.17 10:00,SHORT,ReversalSweepEngine,MODE_SFP,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.08.17 11:00|ReversalSweepEngine|SHORT,2022.08.17 11:00,SHORT,ReversalSweepEngine,MODE_SFP,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.08.17 12:00|ReversalSweepEngine|SHORT,2022.08.17 12:00,SHORT,ReversalSweepEngine,MODE_SFP,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.08.18 14:00|ReversalSweepEngine|SHORT,2022.08.18 14:00,SHORT,ReversalSweepEngine,MODE_SFP,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.08.18 16:00|ReversalSweepEngine|SHORT,2022.08.18 16:00,SHORT,ReversalSweepEngine,MODE_SFP,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.08.18 17:00|ReversalSweepEngine|SHORT,2022.08.18 17:00,SHORT,ReversalSweepEngine,MODE_SFP,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.09.06 04:00|ExpansionEngine|LONG,2022.09.06 04:00,LONG,ExpansionEngine,MODE_COMPRESSION_BO,7,SETUP_B_PLUS,1,2,0,1,1,1,1,NO,NO
2022.09.06 13:00|ExpansionEngine|SHORT,2022.09.06 13:00,SHORT,ExpansionEngine,MODE_LONDON_BREAKOUT,4,SETUP_B_PLUS,1,0,0,0,1,1,1,NO,NO
2022.09.13 08:00|ReversalSweepEngine|LONG,2022.09.13 08:00,LONG,ReversalSweepEngine,MODE_SFP,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.09.13 09:00|ReversalSweepEngine|LONG,2022.09.13 09:00,LONG,ReversalSweepEngine,MODE_SFP,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.09.13 10:00|ReversalSweepEngine|LONG,2022.09.13 10:00,LONG,ReversalSweepEngine,MODE_SFP,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.09.13 11:00|ReversalSweepEngine|LONG,2022.09.13 11:00,LONG,ReversalSweepEngine,MODE_SFP,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
2022.10.19 10:00|ExpansionEngine|SHORT,2022.10.19 10:00,SHORT,ExpansionEngine,MODE_COMPRESSION_BO,5,SETUP_B_PLUS,1,0,0,1,1,1,1,NO,NO
2022.10.24 18:00|ReversalSweepEngine|LONG,2022.10.24 18:00,LONG,ReversalSweepEngine,MODE_SFP,5,SETUP_B_PLUS,1,2,0,0,1,1,0,NO,NO
