RowType,Ticket,SignalID,Pattern,Direction,Source,Regime,Quality,Session,EngineName,EngineMode,DayType,Confluence,Spread,Slippage,ConfirmationUsed,BarTime,EntryTime,EntryPrice,OriginalSL,CurrentSL,OriginalTP1,TP2,RiskPct,LotSize,RiskDistance,RequestedEntryPrice,ExecutedEntryPrice,EntryBalance,EntryRiskMoney,OriginalLots,RemainingLots,Stage,ExitRegimeClass,ExitBETrigger,ExitChandelier,ExitTP0Dist,ExitTP0Vol,ExitTP1Dist,ExitTP1Vol,ExitTP2Dist,ExitTP2Vol,ExitTime,ExitPrice,PnL_Money,PnL_R,HoldingHours,MAE,MFE,MAE_R,MFE_R,PartialCloseCount,PartialRealized_PnL,PartialRealized_R,TP0_Time,TP1_Time,TP1_Lots,TP1_PnL,TP2_Time,TP2_Lots,TP2_PnL,BE_Time,TrailInternalUpdates,TrailBrokerUpdates,TrailBrokerFailures,LastTrailTime,LastTrailReason,MaxLockedR,ExitRequestTime,ExitRequestReason,ExitRequestPrice,ExitReason,Result,Runner_PnL,Runner_R,TP0_PnL,TP0_R,Total_PnL,Total_R,WouldBeFlatWithoutTP0,Reached05R,Reached10R,PeakR_BeforeBE,BE_Before_TP1,TP0_Closed,TP0_Lots,EarlyExit,EarlyExitReason,LossAvoided_R,LossAvoided_Money,RunnerExitMode,RunnerPromotedInTrade,RunnerPromotionTime,TrailSendPolicy,LastTrailGateReason,EffectiveChandelierMult,LiveChandelierMult,EntryLockedChandelierMult,LastBrokerTrailTime
ENTRY,2,2025.01.02 07:00|PinBarEntry|LONG|1,Bullish Pin Bar (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,0,10.00,0.00,YES,2025.01.02 08:00,2025.01.02 08:00,2634.15,2623.61,2623.61,2659.60,2678.69,0.73,0.06,10.54,2634.15,2634.15,9999.82,73.24,0.06,0.06,INITIAL,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.00,3.00,3.00,
ENTRY,6,2025.01.02 17:00|EngulfingEntry|LONG|2,Bullish Engulfing (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,NEWYORK,EngulfingEntry,MODE_NONE,DAY_TREND,0,7.00,0.00,YES,2025.01.02 18:00,2025.01.02 18:00,2654.08,2637.15,2637.15,2709.76,2751.51,0.73,0.04,16.93,2654.08,2654.08,10058.50,73.67,0.04,0.04,INITIAL,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
EXIT,2,2025.01.02 07:00|PinBarEntry|LONG|1,Bullish Pin Bar (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,0,10.00,0.00,YES,2025.01.02 08:00,2025.01.02 08:00,2634.15,2623.61,2634.55,2659.60,2678.69,0.73,0.06,10.54,2634.15,2634.15,9999.82,73.24,0.06,0.02,TP_HIT,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,2025.01.02 18:48,2659.60,109.64,1.50,10.8,3.00,25.20,0.28,2.39,3,58.80,0.80,2025.01.02 12:19,2025.01.02 16:15,0.02,29.78,2025.01.02 17:37,0.01,19.36,,5,5,0,2025.01.02 17:00,Chandelier Trail: SL=2634.55 (ATRx3.0),0.04,,,0.00,,WIN,50.84,0.69,9.66,0.13,109.64,1.50,NO,YES,YES,2.39,NO,YES,0.01,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.00,2025.01.02 17:00
EXIT,6,2025.01.02 17:00|EngulfingEntry|LONG|2,Bullish Engulfing (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,NEWYORK,EngulfingEntry,MODE_NONE,DAY_TREND,0,7.00,0.00,YES,2025.01.02 18:00,2025.01.02 18:00,2654.08,2637.15,2649.82,2709.76,2751.51,0.73,0.04,16.93,2654.08,2654.08,10058.50,73.67,0.04,0.04,INITIAL,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,2025.01.03 15:23,2649.82,-20.31,-0.28,21.4,4.13,11.31,0.24,0.67,0,0.00,0.00,,,0.00,0.00,,0.00,0.00,,7,7,0,2025.01.03 09:00,Chandelier Trail: SL=2649.82 (ATRx3.5),0.00,,,0.00,,LOSS,-20.31,-0.28,0.00,0.00,-20.31,-0.28,NO,YES,NO,0.67,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,2025.01.03 09:00
ENTRY,9,2025.01.06 02:00|ReversalSweepEngine|LONG|4,LiquiditySweep | Bullish Liquidity Sweep,LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,NEWYORK,ReversalSweepEngine,MODE_SFP,DAY_TREND,50,8.00,0.00,NO,2025.01.06 02:00,2025.01.06 02:00,2641.17,2634.18,2634.18,2665.39,2658.65,0.70,0.10,6.99,2641.17,2641.17,10088.73,70.37,0.10,0.10,INITIAL,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.00,3.00,3.00,
ENTRY,10,2025.01.06 03:00|ReversalSweepEngine|LONG|6,LiquiditySweep | Bullish Liquidity Sweep,LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,ASIA,ReversalSweepEngine,MODE_SFP,DAY_TREND,50,10.00,0.00,NO,2025.01.06 03:00,2025.01.06 03:00,2643.54,2634.12,2634.12,2665.39,2667.10,0.80,0.08,9.42,2643.54,2643.54,10088.49,80.92,0.08,0.08,INITIAL,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.00,3.00,3.00,
EXIT,9,2025.01.06 02:00|ReversalSweepEngine|LONG|4,LiquiditySweep | Bullish Liquidity Sweep,LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,NEWYORK,ReversalSweepEngine,MODE_SFP,DAY_TREND,50,8.00,0.00,NO,2025.01.06 02:00,2025.01.06 02:00,2641.17,2634.18,2642.27,2665.39,2658.65,0.70,0.10,6.99,2641.17,2641.17,10088.73,70.37,0.10,0.10,INITIAL,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,2025.01.06 03:00,2642.27,10.70,0.15,1.0,2.49,2.27,0.36,0.32,0,0.00,0.00,,,0.00,0.00,,0.00,0.00,,2,2,0,2025.01.06 03:00,Chandelier Trail: SL=2642.27 (ATRx3.5),0.16,,,0.00,,WIN,10.70,0.15,0.00,0.00,10.70,0.15,NO,NO,NO,0.32,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.00,2025.01.06 03:00
EXIT,10,2025.01.06 03:00|ReversalSweepEngine|LONG|6,LiquiditySweep | Bullish Liquidity Sweep,LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,ASIA,ReversalSweepEngine,MODE_SFP,DAY_TREND,50,10.00,0.00,NO,2025.01.06 03:00,2025.01.06 03:00,2643.54,2634.12,2641.38,2665.39,2667.10,0.80,0.08,9.42,2643.54,2643.54,10088.49,80.92,0.08,0.08,INITIAL,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,2025.01.06 03:59,2641.38,-17.52,-0.22,1.0,2.75,3.88,0.29,0.41,0,0.00,0.00,,,0.00,0.00,,0.00,0.00,,1,1,0,2025.01.06 03:13,Chandelier Trail: SL=2641.38 (ATRx3.5),0.00,,,0.00,,LOSS,-17.52,-0.22,0.00,0.00,-17.52,-0.22,NO,NO,NO,0.41,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.00,2025.01.06 03:13
ENTRY,13,2025.01.06 04:00|PinBarEntry|SHORT|7,Bearish Pin Bar,SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,0,7.00,0.00,NO,2025.01.06 04:00,2025.01.06 04:00,2641.41,2651.91,2651.91,2620.41,2622.51,0.34,0.03,10.50,2641.41,2641.41,10081.58,33.96,0.03,0.03,INITIAL,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.00,3.00,3.00,
EXIT,13,2025.01.06 04:00|PinBarEntry|SHORT|7,Bearish Pin Bar,SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,0,7.00,0.00,NO,2025.01.06 04:00,2025.01.06 04:00,2641.41,2651.91,2641.47,2620.41,2622.51,0.34,0.03,10.50,2641.41,2641.41,10081.58,33.96,0.03,0.02,TP0_HIT,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,2025.01.06 13:22,2641.47,7.77,0.23,9.4,4.00,16.04,0.38,1.53,1,7.95,0.23,2025.01.06 07:30,,0.00,0.00,,0.00,0.00,,5,5,0,2025.01.06 10:00,Chandelier Trail: SL=2641.47 (ATRx3.5),0.00,,,0.00,,WIN,-0.18,-0.01,7.95,0.23,7.77,0.23,YES,YES,YES,1.53,NO,YES,0.01,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.00,2025.01.06 10:00
