Year,ReportExitType,Trades,NetPnL,AvgR,AvgExitScore24h,AvgMissed24hR,BadExitPct
2020,blank,3,352.6,1.4000000000000001,63.71206069124262,0.3149022265268641,0.0
2020,sl,44,-1593.63,-0.42454545454545456,52.16747889024537,1.1720863654246563,25.0
2020,tp,16,1801.37,1.386875,48.120271122334096,1.4060217393004855,37.5
2021,blank,2,82.61,0.665,23.950021491931253,0.5038337827949799,0.0
2021,sl,53,-1428.91,-0.4828301886792455,50.99471360903951,1.5645814686646744,33.9622641509434
2021,tp,34,2110.51,1.1520588235294116,47.847889485648544,1.9128074249786826,44.11764705882353
2022,blank,3,96.61,0.6466666666666666,63.33670790660835,0.9748973080925228,0.0
2022,sl,60,-1640.75,-0.46549999999999997,47.916887877857675,1.5125787451987764,30.0
2022,tp,36,2856.57,1.2225000000000001,53.33729243783426,1.7988315808345492,36.111111111111114
2023,sl,65,-973.02,-0.22692307692307692,41.752928953242204,1.4453291397041705,43.07692307692308
2023,tp,19,2371.17,1.383157894736842,68.26447904317378,0.6418338079604445,5.2631578947368425
2024,blank,3,120.65,0.43333333333333335,52.438890105005875,2.443442393736127,33.333333333333336
2024,sl,59,-941.99,-0.20627118644067793,46.08308021963883,1.3968465401737218,38.983050847457626
2024,tp,18,2083.12,1.3527777777777776,48.431866173447986,2.0114466450738973,27.77777777777778
2025,blank,3,296.97,1.0633333333333332,99.78106185002757,0.0014461315979740607,0.0
2025,sl,37,-1285.25,-0.3732432432432433,40.18536211846642,2.141736582811536,43.24324324324324
2025,tp,27,3430.74,1.3796296296296295,34.95259182311097,2.4364173098179553,37.03703703703704
