Pattern,Dimension,Bucket,Trades,NetPnL,AvgPnL,WinRatePct,BadEntryPct,BadExitPct
Bearish Pin Bar,Session,ASIA,82,2333.59,28.46,53.7,23.2,34.1
Bearish Pin Bar,Quality,SETUP_A_PLUS,47,903.52,19.22,51.1,23.4,36.2
Bearish Pin Bar,Quality,SETUP_B_PLUS,14,444.72,31.77,57.1,35.7,28.6
Bearish Pin Bar,Quality,SETUP_A,21,985.35,46.92,57.1,14.3,33.3
Bearish Pin Bar,Regime,TRENDING,73,2071.48,28.38,52.1,26.0,34.2
Bearish Pin Bar,Regime,VOLATILE,9,262.11,29.12,66.7,0.0,33.3
Bullish Engulfing (Confirmed),Session,ASIA,21,409.34,19.49,47.6,4.8,33.3
Bullish Engulfing (Confirmed),Session,LONDON,44,281.02,6.39,38.6,25.0,40.9
Bullish Engulfing (Confirmed),Session,NEWYORK,68,1570.69,23.1,57.4,22.1,32.4
Bullish Engulfing (Confirmed),Quality,SETUP_A_PLUS,91,1728.63,19.0,50.5,16.5,33.0
Bullish Engulfing (Confirmed),Quality,SETUP_A,35,413.5,11.81,45.7,31.4,42.9
Bullish Engulfing (Confirmed),Quality,SETUP_B_PLUS,7,118.92,16.99,57.1,14.3,28.6
Bullish Engulfing (Confirmed),Regime,TRENDING,131,2129.78,16.26,48.9,20.6,35.1
Bullish Engulfing (Confirmed),Regime,RANGING,1,56.08,56.08,100.0,0.0,100.0
Bullish Engulfing (Confirmed),Regime,VOLATILE,1,75.19,75.19,100.0,0.0,0.0
Bullish Pin Bar (Confirmed),Session,NEWYORK,61,-45.47,-0.75,42.6,29.5,36.1
Bullish Pin Bar (Confirmed),Session,LONDON,22,732.4,33.29,45.5,36.4,36.4
Bullish Pin Bar (Confirmed),Session,ASIA,21,812.49,38.69,52.4,23.8,28.6
Bullish Pin Bar (Confirmed),Quality,SETUP_A,26,101.5,3.9,34.6,34.6,46.2
Bullish Pin Bar (Confirmed),Quality,SETUP_A_PLUS,69,1627.7,23.59,53.6,26.1,31.9
Bullish Pin Bar (Confirmed),Quality,SETUP_B_PLUS,9,-229.78,-25.53,11.1,44.4,22.2
Bullish Pin Bar (Confirmed),Regime,TRENDING,97,1358.88,14.01,44.3,28.9,36.1
Bullish Pin Bar (Confirmed),Regime,VOLATILE,5,222.3,44.46,80.0,20.0,20.0
Bullish Pin Bar (Confirmed),Regime,RANGING,2,-81.76,-40.88,0.0,100.0,0.0
Rubber Band Short (Death Cross),Session,LONDON,30,54.78,1.83,50.0,50.0,26.7
Rubber Band Short (Death Cross),Session,ASIA,10,198.07,19.81,60.0,10.0,20.0
Rubber Band Short (Death Cross),Session,NEWYORK,47,129.85,2.76,44.7,53.2,38.3
Rubber Band Short (Death Cross),Quality,SETUP_A,23,137.55,5.98,47.8,52.2,26.1
Rubber Band Short (Death Cross),Quality,SETUP_A_PLUS,64,245.15,3.83,48.4,45.3,34.4
Rubber Band Short (Death Cross),Regime,TRENDING,84,336.54,4.01,47.6,47.6,32.1
Rubber Band Short (Death Cross),Regime,RANGING,3,46.16,15.39,66.7,33.3,33.3
Bullish MA Cross (Confirmed),Session,ASIA,13,200.39,15.41,46.2,30.8,53.8
Bullish MA Cross (Confirmed),Session,LONDON,9,608.76,67.64,66.7,22.2,33.3
Bullish MA Cross (Confirmed),Session,NEWYORK,2,86.25,43.12,50.0,0.0,0.0
Bullish MA Cross (Confirmed),Quality,SETUP_B_PLUS,6,-75.15,-12.53,33.3,50.0,33.3
Bullish MA Cross (Confirmed),Quality,SETUP_A_PLUS,7,462.87,66.12,71.4,0.0,14.3
Bullish MA Cross (Confirmed),Quality,SETUP_A,11,507.68,46.15,54.5,27.3,63.6
Bullish MA Cross (Confirmed),Regime,TRENDING,24,895.4,37.31,54.2,25.0,41.7
