Pattern,Trades,NetPnL,AvgR,WinRatePct,BadEntryPct,BadExitPct,BadTradePct,LongTrades,ShortTrades,BullYearNetPnL_2024_2025,WeakYearsNetPnL_2020_2023,AvgEntry24hR,AvgAdverse24hR,AvgExitMissed24hR,RunnerManagedPct
Bullish Engulfing (Confirmed),133,2274.98,0.21075187969924822,49.62406015037594,20.30075187969925,35.338345864661655,51.8796992481203,133,0,1203.44,1071.54,1.5210479940035888,1.0466986035486128,1.5269322154769862,67.66917293233082
Rubber Band Short (Death Cross),104,551.76,0.1265384615384616,50.0,47.11538461538461,31.73076923076923,66.34615384615384,0,104,0,551.76,1.8268415012062225,1.9883251049327169,1.81359839988358,0.0
Bullish Pin Bar (Confirmed),104,1502.56,0.15557692307692303,45.19230769230769,29.807692307692307,34.61538461538461,58.65384615384615,104,0,958.49,544.07,1.5461152871085002,1.2298835842701206,1.3568154551523346,10.576923076923077
Bearish Pin Bar,82,2468.58,0.3225609756097561,54.8780487804878,23.170731707317074,34.146341463414636,53.65853658536585,0,82,982.83,1485.75,2.0487320367846604,1.5671386407620853,1.7367914463445964,51.21951219512195
Bullish MA Cross (Confirmed),24,857.25,0.3545833333333334,54.166666666666664,25.0,41.666666666666664,54.166666666666664,24,0,684.1,173.15,1.8402899579877046,0.7914427935118619,1.539392303762814,75.0
BB Mean Reversion Short,9,-21.02,-0.12444444444444448,44.44444444444444,44.44444444444444,11.11111111111111,55.55555555555556,0,9,17.15,-38.17,0.9985458466930788,2.6203420580614543,1.0372709515344378,0.0
S6: Failed Break Long,6,44.42,0.09500000000000001,50.0,50.0,16.666666666666668,66.66666666666667,6,0,10.16,34.26,1.98945495988189,1.9485303560778913,1.8550926356099733,0.0
Pullback Continuation SHORT (PB=1.3xATR; 4 bars; C1),2,93.77,0.34500000000000003,50.0,0.0,100.0,100.0,0,2,0,93.77,1.085478857545016,0.4257814790921256,1.101952964635498,0.0
Pullback Continuation SHORT (PB=1.7xATR; 4 bars; C1),1,-111.54,-0.97,0.0,0.0,0.0,0.0,0,1,-111.54,0,3.673751328374069,1.057739992915326,4.67552249380091,0.0
Pullback Continuation SHORT (PB=1.1xATR; 3 bars; C1),1,-74.48,-0.74,0.0,100.0,0.0,100.0,0,1,-74.48,0,0.3650242886883866,2.8667591950034046,0.22831367106175524,0.0
Pullback Continuation LONG (PB=1.0xATR; 4 bars; C1) (Confirmed),1,-60.97,-0.73,0.0,0.0,100.0,100.0,1,0,0,-60.97,1.1126893939393543,1.4090909090908963,1.9346590909090438,0.0
Pullback Continuation LONG (PB=0.7xATR; 4 bars; C1) (Confirmed),1,-56.04,-0.7,0.0,100.0,100.0,100.0,1,0,-56.04,0,0.32415902140674074,1.2801223241590185,1.0440366972477222,0.0
Pullback Continuation LONG (PB=1.8xATR; 3 bars; C1) (Confirmed),1,-30.28,-0.46,0.0,100.0,0.0,100.0,1,0,0,-30.28,0.3406169665809751,0.9588688946015504,0.4074550128534666,0.0
Pullback Continuation SHORT (PB=1.8xATR; 4 bars; C1),1,-17.82,-0.47,0.0,100.0,0.0,100.0,0,1,0,-17.82,0.1540642722117316,1.4517958412098304,0.28166351606805656,0.0
Pullback Continuation SHORT (PB=1.5xATR; 8 bars; C1),1,-9.35,-0.14,0.0,0.0,100.0,100.0,0,1,0,-9.35,1.05835543766579,0.44297082228116846,1.287356321839102,0.0
Pullback Continuation SHORT (PB=1.5xATR; 3 bars; C1),1,-4.57,-0.05,0.0,0.0,0.0,0.0,0,1,0,-4.57,0.543291473892934,0.9907468605419779,0.817580964970272,0.0
Pullback Continuation SHORT (PB=1.5xATR; 4 bars; C1),1,7.93,0.13,100.0,0.0,100.0,100.0,0,1,0,7.93,1.1914486279514842,0.3637523931078506,1.4116145500957107,0.0
Pullback Continuation LONG (PB=1.6xATR; 5 bars; C1) (Confirmed),1,16.27,0.2,100.0,0.0,0.0,0.0,1,0,0,16.27,0.7520891364902436,0.2757660167130949,0.9749303621169932,0.0
Pullback Continuation SHORT (PB=1.7xATR; 7 bars; C1),1,19.1,0.36,100.0,0.0,0.0,0.0,0,1,0,19.1,1.2217630853994512,1.053719008264461,0.3471074380165269,0.0
IC Breakout Long,1,21.31,0.24,100.0,0.0,100.0,100.0,1,0,21.31,0,1.4700748129675798,0.35099750623442155,2.6415211970074806,0.0
Pullback Continuation LONG (PB=1.7xATR; 3 bars; C1) (Confirmed),1,21.46,0.27,100.0,0.0,100.0,100.0,1,0,21.46,0,1.6827122153209477,0.3043478260869432,1.8555900621118244,0.0
Pullback Continuation LONG (PB=1.2xATR; 5 bars; C1) (Confirmed),1,23.38,0.29,100.0,0.0,100.0,100.0,1,0,0,23.38,0.6612903225806348,0.6814516129032199,1.191532258064501,0.0
Pullback Continuation SHORT (PB=1.7xATR; 9 bars; C1),1,27.55,0.43,100.0,0.0,0.0,0.0,0,1,0,27.55,0.929169840060941,0.5224676313785196,0.706778370144711,0.0
Pullback Continuation SHORT (PB=1.4xATR; 4 bars; C1),1,33.89,0.35,100.0,0.0,0.0,0.0,0,1,0,33.89,0.8500000000000137,0.6409090909090853,0.5628787878788004,0.0
Pullback Continuation LONG (PB=1.5xATR; 4 bars; C1) (Confirmed),1,47.36,0.6,100.0,0.0,0.0,0.0,1,0,47.36,0,1.4502529510961097,0.0366779089376004,0.5257166947723491,0.0
Pullback Continuation SHORT (PB=1.6xATR; 4 bars; C1),1,113.87,1.2,100.0,0.0,0.0,0.0,0,1,0,113.87,0.4822934232715072,0.3077571669477337,0.0,0.0
