Year,Ticket,SignalID,Pattern,Direction,Source,Regime,Quality,Session,EngineName,EngineMode,DayType,Spread,Slippage,EntryTime,ExitTime,EntryPrice,ExitPrice,OriginalSL,OriginalTP1,TP2,RiskDistance,EntryRiskMoney,RiskPct,LotSize,HoldingHours,Result,PnL_Money,Total_PnL,Total_R,MAE_R,MFE_R,PartialCloseCount,PartialRealized_PnL,TP0_Closed,TP0_Lots,TrailInternalUpdates,TrailBrokerUpdates,TrailBrokerFailures,LastTrailReason,LastTrailKind,MaxLockedR,RunnerExitMode,RunnerManaged,RunnerPromotedInTrade,RunnerPromotionTime,TrailSendPolicy,LastTrailGateReason,EffectiveChandelierMult,LiveChandelierMult,EntryLockedChandelierMult,LastBrokerTrailTime,ExitRequestReason,ExitReason,Year_Gold_Return_Pct,Year_Gold_Range_Pct,Prev_24h_Return_Pct,Prev_72h_Return_Pct,Entry_Favorable_R_1h,Entry_Adverse_R_1h,Entry_Followthrough_1h,Entry_Favorable_R_4h,Entry_Adverse_R_4h,Entry_Followthrough_4h,Entry_Favorable_R_24h,Entry_Adverse_R_24h,Entry_Followthrough_24h,Entry_Favorable_R_48h,Entry_Adverse_R_48h,Entry_Followthrough_48h,Market_MFE_R_ToExit,Market_MAE_R_ToExit,Exit_Missed_R_4h,Exit_Protected_R_4h,Exit_Score_4h,Exit_Missed_R_24h,Exit_Protected_R_24h,Exit_Score_24h,Exit_Missed_R_48h,Exit_Protected_R_48h,Exit_Score_48h,EventCount,EventTypes,TopEventReason,AntiStallPartialCount,ExitRequestCount,ExitTriggerCount,HadBreakevenEvent,HadTrailingEvent,HadTrailingFailures,HadTP0Event,HadTP1Event,HadTP2Event,ReportExitComment,ReportExitType,CandidatePlugin,CandidateDecision,CandidateReason,CandidateQualityScore,CandidateATR,CandidateADX,CandidateMacroScore,RiskBasePct,RiskRequestedPct,RiskFinalPct,RiskCounterTrendReduced,RiskCounterTrendMultiplier,RiskExecutionOutcome,EntryGrade,EntryIssue,ExitGrade,ExitIssue,ManagementIssue,Verdict,SeverityScore
2020,2,2020.01.02 13:00|PinBarEntry|LONG|1,Bullish Pin Bar (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A,NEWYORK,PinBarEntry,MODE_NONE,DAY_TREND,5.0,0.0,2020.01.02 14:00,2020.01.02 19:21,1522.08,1522.88,1513.34,1549.52,1570.1,8.740000000000009,84.0,0.84,0.09,5.4,WIN,12.25,12.25,0.15,0.05,1.07,1,6.09,YES,0.01,4,4,0,Chandelier Trail: SL=1522.88 (ATRx3.5),chandelier,0.09,RUNNER_EXIT_STANDARD,False,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.5,3.5,3.5,2020.01.02 17:00,,,24.546459158301875,41.02850828147815,0.09602357181379559,0.7247000271348899,0.17505720823798296,0.06407322654461611,73.20574162679581,1.05720823798627,0.06407322654461611,94.28571428571482,3.3615560640732354,0.06407322654461611,98.12959251837026,3.5869565217391424,0.06407322654461611,98.24506424318413,1.05720823798627,0.06407322654461611,0.6556064073226299,0.0,0.0,3.2700228832951828,0.0,0.0,3.4954233409610898,0.0,0.0,11,ENTRY_OPENED:1|EXIT_FILL:1|TP0_PARTIAL:1|TRAIL_BROKER_OK:4|TRAIL_INTERNAL:4,EVERY_UPDATE,0,0,0,False,True,False,True,False,False,sl 1522.88,sl,PinBarEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,7.0,3.89,34.8,1.0,0.84,0.84,0.84,NO,1.0,EXECUTED,good,strong_followthrough,neutral,mixed,none,mixed,1.5616132723112082
2020,5,2020.01.02 22:00|PinBarEntry|LONG|4,Bullish Pin Bar (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,NEWYORK,PinBarEntry,MODE_NONE,DAY_TREND,5.0,0.0,2020.01.02 23:00,2020.01.03 20:00,1528.42,1548.78,1518.84,1558.5,1581.05,9.580000000000155,84.1,0.84,0.08,21.0,WIN,131.78,131.78,1.57,0.05,2.41,3,53.45,YES,0.01,11,7,2,Chandelier Trail: SL=1539.11 (ATRx3.5),chandelier,1.12,RUNNER_EXIT_PROMOTED,True,YES,2020.01.03 07:31,TRAIL_SEND_RUNNER_POLICY,RUNNER_LOCK_STEP_R1,3.5,3.0,3.5,2020.01.03 12:00,Weekend closure,Weekend closure,24.546459158301875,41.02850828147815,0.5097141654499296,0.8786058485708591,0.06158663883088816,0.02713987473903828,69.41176470588015,0.24530271398746045,0.05845511482256407,80.75601374569906,2.6106471816283494,0.05845511482256407,97.80993351583821,2.6106471816283494,0.05845511482256407,97.80993351583821,2.4050104384133184,0.05845511482256407,0.48538622129436493,0.2693110647181509,35.68464730290347,0.48538622129436493,0.2693110647181509,35.68464730290347,0.48538622129436493,0.2693110647181509,35.68464730290347,29,BREAKEVEN_ARMED:1|ENTRY_OPENED:1|EXIT_FILL:1|EXIT_REQUEST:1|RUNNER_PROMOTED:1|TP0_PARTIAL:1|TP1_PARTIAL:1|TP2_PARTIAL:1|TRAIL_BROKER_FAIL:2|TRAIL_BROKER_OK:7|TRAIL_BROKER_SKIP:1|TRAIL_INTERNAL:11,EVERY_UPDATE,0,1,0,True,True,True,True,True,True,,blank,PinBarEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,10.0,4.79,41.7,1.0,0.84,0.84,0.84,NO,1.0,EXECUTED,good,strong_followthrough,neutral,mixed,broker_trailing_failures,acceptable_win,0.4175052192066592
2020,10,2020.01.14 08:00|PullbackContinuationEngine|SHORT|14,Pullback Continuation SHORT (PB=1.8xATR; 4 bars; C1),SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,LONDON,PullbackContinuationEngine,MODE_NONE,DAY_TREND,7.0,0.0,2020.01.14 08:00,2020.01.14 10:21,1537.98,1543.89,1548.56,1524.23,1518.94,10.579999999999927,38.04,0.38,0.03,2.4,LOSS,-17.82,-17.82,-0.47,0.56,0.15,0,0.0,NO,0.0,1,1,0,Chandelier Trail: SL=1543.88 (ATRx3.0),chandelier,0.0,RUNNER_EXIT_STANDARD,False,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.5,3.5,3.5,2020.01.14 08:05,,,24.546459158301875,41.02850828147815,-1.111089678054048,-1.5245620325786258,0.1540642722117316,0.1890359168241979,44.90358126721929,0.1540642722117316,0.7485822306238306,17.068062827225948,0.1540642722117316,1.4517958412098304,9.593878752207818,0.1540642722117316,1.908317580340283,7.470210815765797,0.1540642722117316,0.5491493383742897,0.13799621928166791,0.19659735349715893,58.7570621468912,0.28166351606805656,0.9423440453686076,76.98841698841653,0.28166351606805656,1.3497164461247704,82.73464658169166,4,ENTRY_OPENED:1|EXIT_FILL:1|TRAIL_BROKER_OK:1|TRAIL_INTERNAL:1,Pullback Continuation SHORT (PB=1.8xATR; 4 bars; C1),0,0,0,False,True,False,False,False,False,sl 1543.88,sl,PullbackContinuationEngine,WINNER,WINNER_IMMEDIATE_EXECUTION,5.0,6.6,32.9,-2.0,0.6,0.38,0.38,NO,1.0,EXECUTED,bad,no_edge_fast_adverse_move,good,protected_against_reversal,none,bad_entry,1.5947637051039647
2020,12,2020.01.22 22:00|PinBarEntry|LONG|28,Bullish Pin Bar (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A,NEWYORK,PinBarEntry,MODE_NONE,DAY_TREND,5.0,0.0,2020.01.22 23:00,2020.01.23 04:09,1558.96,1556.96,1549.7,1571.26,1580.48,9.259999999999991,85.05,0.84,0.09,5.2,LOSS,-38.47,-38.47,-0.45,0.2,0.52,0,0.0,NO,0.0,2,2,0,Chandelier Trail: SL=1557.05 (ATRx3.0),chandelier,0.0,RUNNER_EXIT_STANDARD,False,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.0,3.0,3.0,2020.01.23 02:00,,,24.546459158301875,41.02850828147815,0.004490374561382543,0.13681647964132945,0.014038876889836058,0.06155507559394567,18.571428571416508,0.5129589632829379,0.08423326133909001,85.89511754068758,0.966522678185751,0.7678185745140533,55.728518057284866,1.8347732181425513,0.7678185745140533,70.49792531120296,0.5129589632829379,0.40496760259179304,0.4233261339092955,0.12095032397409496,22.222222222223728,1.1825053995680406,0.5518358531317638,31.818181818182268,2.050755939524841,0.5518358531317638,21.203319502075097,6,ENTRY_OPENED:1|EXIT_FILL:1|TRAIL_BROKER_OK:2|TRAIL_INTERNAL:2,EVERY_UPDATE,0,0,0,False,True,False,False,False,False,sl 1557.05,sl,PinBarEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,7.0,6.21,17.1,-2.0,0.84,0.84,0.84,NO,1.0,EXECUTED,neutral,mixed,bad,trailing_stop_too_tight,trailing,bad_exit,0.9794816414686853
2020,14,2020.01.30 05:00|EngulfingEntry|LONG|42,Bullish Engulfing (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,ASIA,EngulfingEntry,MODE_NONE,DAY_TREND,7.0,0.0,2020.01.30 06:00,2020.01.30 16:35,1580.22,1574.74,1571.89,1601.29,1617.1,8.329999999999927,84.73,0.84,0.1,10.6,LOSS,-55.1,-55.1,-0.65,0.65,0.34,0,0.0,NO,0.0,3,1,0,Chandelier Trail: SL=1574.75 (ATRx3.5),chandelier,0.0,RUNNER_EXIT_ENTRY_LOCKED,True,NO,,TRAIL_SEND_RUNNER_POLICY,RUNNER_H1_CADENCE,3.5,3.5,3.5,2020.01.30 13:03,,,24.546459158301875,41.02850828147815,1.0002684426491513,0.046217157328269594,0.06962785114044806,0.15246098439375666,31.35135135134896,0.27490996398559225,0.39375750300120066,41.113105924595864,0.6926770708283352,1.1224489795918628,38.161375661375246,1.231692677070838,1.1224489795918628,52.32024477307458,0.3373349339735858,0.8307322929171829,1.3505402160864464,0.3025210084033618,18.300653594771134,1.3505402160864464,0.4645858343337517,25.595238095238678,1.8895558223289493,0.4645858343337517,19.734829168791908,8,ENTRY_OPENED:1|EXIT_FILL:1|RUNNER_MODE_ASSIGNED:1|TRAIL_BROKER_OK:1|TRAIL_BROKER_SKIP:1|TRAIL_INTERNAL:3,Bullish Engulfing (Confirmed),0,0,0,False,True,False,False,False,False,sl 1574.75,sl,EngulfingEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,10.0,5.8,29.6,-1.0,0.84,0.84,0.84,NO,1.0,EXECUTED,neutral,mixed,bad,trailing_stop_too_tight,trailing,bad_exit,1.2813325330132344
2020,16,2020.02.10 10:00|EngulfingEntry|LONG|47,Bullish Engulfing (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,LONDON,EngulfingEntry,MODE_NONE,DAY_TREND,4.0,0.0,2020.02.10 11:00,2020.02.11 09:03,1573.82,1566.69,1564.01,1598.64,1617.25,9.809999999999945,84.26,0.84,0.08,22.1,LOSS,-63.26,-63.26,-0.75,0.73,0.33,0,0.0,NO,0.0,5,1,0,Chandelier Trail: SL=1568.88 (ATRx3.5),chandelier,0.0,RUNNER_EXIT_ENTRY_LOCKED,True,NO,,TRAIL_SEND_RUNNER_POLICY,RUNNER_WAIT_STEP,3.5,3.0,3.5,2020.02.10 11:38,,,24.546459158301875,41.02850828147815,0.23757961783439607,0.5289213964035883,0.0998980632008179,0.14984709480122685,40.0,0.11416921508665896,0.2446483180428009,31.81818181818534,0.32517838939858024,0.8216106014271142,28.35555555555604,0.32517838939858024,1.2130479102956095,21.13982770046436,0.32517838939858024,0.7624872579001081,0.33435270132517747,0.09480122324159723,22.090261282661654,0.7502548419979552,0.4862385321100926,39.323990107172534,0.9051987767584028,0.4862385321100926,34.94505494505516,10,ENTRY_OPENED:1|EXIT_FILL:1|RUNNER_MODE_ASSIGNED:1|TRAIL_BROKER_OK:1|TRAIL_BROKER_SKIP:1|TRAIL_INTERNAL:5,Bullish Engulfing (Confirmed),0,0,0,False,True,False,False,False,False,sl 1566.69,sl,EngulfingEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,10.0,5.69,23.1,-2.0,0.84,0.84,0.84,NO,1.0,EXECUTED,bad,poor_followthrough,neutral,mixed,none,bad_entry,1.1875127420998919
2020,17,2020.02.10 18:00|EngulfingEntry|LONG|48,Bullish Engulfing (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A,NEWYORK,EngulfingEntry,MODE_NONE,DAY_TREND,5.0,0.0,2020.02.10 19:00,2020.02.11 04:11,1574.45,1568.83,1566.2,1595.32,1610.98,8.25,84.26,0.84,0.1,9.2,LOSS,-63.98,-63.98,-0.76,0.68,0.31,0,0.0,NO,0.0,2,2,0,Chandelier Trail: SL=1568.84 (ATRx3.5),chandelier,0.0,RUNNER_EXIT_STANDARD,False,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.5,3.5,3.5,2020.02.10 20:00,,,24.546459158301875,41.02850828147815,0.28343949044586275,0.4241612450567733,0.3103030303030237,0.03636363636363085,89.51048951049073,0.3103030303030237,0.2606060606060716,54.352441613586535,0.3103030303030237,1.5187878787878755,16.964877402252878,0.3103030303030237,1.5187878787878755,16.964877402252878,0.3103030303030237,0.7369696969697157,0.03757575757577852,0.23636363636361432,86.28318584070027,0.632727272727276,0.83757575757574,56.96619950535797,0.632727272727276,0.83757575757574,56.96619950535797,6,ENTRY_OPENED:1|EXIT_FILL:1|TRAIL_BROKER_OK:2|TRAIL_INTERNAL:2,EVERY_UPDATE,0,0,0,False,True,False,False,False,False,sl 1568.84,sl,EngulfingEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,7.0,5.43,28.4,-2.0,0.84,0.84,0.84,NO,1.0,EXECUTED,bad,no_edge_fast_adverse_move,good,reasonable_exit,none,bad_entry,1.6767272727272742
2020,19,2020.02.11 09:00|PullbackContinuationEngine|SHORT|49,Pullback Continuation SHORT (PB=1.3xATR; 4 bars; C1),SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,LONDON,PullbackContinuationEngine,MODE_NONE,DAY_TREND,4.0,0.0,2020.02.11 09:00,2020.02.11 15:35,1567.14,1572.6,1577.17,1554.1,1549.09,10.029999999999973,29.9,0.3,0.02,6.6,LOSS,-10.98,-10.98,-0.37,0.54,0.13,0,0.0,NO,0.0,1,1,0,Chandelier Trail: SL=1572.60 (ATRx3.0),chandelier,0.0,RUNNER_EXIT_STANDARD,False,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.0,3.0,3.0,2020.02.11 09:03,,,24.546459158301875,41.02850828147815,-0.1713233936043547,-0.16305732484076085,0.07976071784647897,0.2741774675972091,22.535211267609604,0.13758723828515582,0.28215353938184795,32.7790973871757,0.5204386839481596,0.6889332003987909,43.03380049464203,0.5204386839481596,0.8404785643070647,38.24175824175882,0.13758723828515582,0.5722831505483574,1.0648055832502359,0.1445663010967148,11.95383347073421,1.0648055832502359,0.1445663010967148,11.95383347073421,1.0648055832502359,0.48853439680958166,31.450577663672103,4,ENTRY_OPENED:1|EXIT_FILL:1|TRAIL_BROKER_OK:1|TRAIL_INTERNAL:1,Pullback Continuation SHORT (PB=1.3xATR; 4 bars; C1),0,0,0,False,True,False,False,False,False,sl 1572.60,sl,PullbackContinuationEngine,WINNER,WINNER_IMMEDIATE_EXECUTION,5.0,5.1,28.0,-2.0,0.6,0.3,0.3,NO,1.0,EXECUTED,neutral,mixed,bad,trailing_stop_too_tight,trailing,bad_exit,0.9147158524426723
2020,22,2020.02.18 05:00|EngulfingEntry|LONG|58,Bullish Engulfing (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,ASIA,EngulfingEntry,MODE_NONE,DAY_TREND,5.0,0.0,2020.02.18 06:00,2020.02.19 10:29,1586.94,1607.53,1578.8,1607.53,1622.98,8.1400000000001,83.1,0.84,0.1,28.5,WIN,157.55,157.55,1.9,0.23,2.53,3,78.3,YES,0.01,11,5,0,Chandelier Trail: SL=1599.05 (ATRx3.5),chandelier,1.49,RUNNER_EXIT_ENTRY_LOCKED,True,NO,,TRAIL_SEND_RUNNER_POLICY,RUNNER_WAIT_STEP,3.5,3.5,3.5,2020.02.19 08:00,,,24.546459158301875,41.02850828147815,0.2780498593952329,0.19953399970952992,0.05651105651106029,0.07616707616708976,42.59259259258987,0.26044226044224383,0.2383292383292421,52.21674876847092,2.2248157248156852,0.2383292383292421,90.32418952618424,3.1904176904176547,0.2383292383292421,93.04908634897869,2.5823095823095485,0.2383292383292421,0.46191646191645513,0.017199017199001344,3.5897435897404506,0.6609336609336662,0.6326781326781081,48.90788224121441,3.565110565110519,0.6326781326781081,15.071700321919481,27,BREAKEVEN_ARMED:1|ENTRY_OPENED:1|EXIT_FILL:1|RUNNER_MODE_ASSIGNED:1|TP0_PARTIAL:1|TP1_PARTIAL:1|TP2_PARTIAL:1|TRAIL_BROKER_OK:5|TRAIL_BROKER_SKIP:4|TRAIL_INTERNAL:11,RUNNER_H1_CADENCE,0,0,0,True,True,False,True,True,True,tp 1607.53,tp,EngulfingEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,10.0,3.36,30.7,-2.0,0.84,0.84,0.84,NO,1.0,EXECUTED,good,strong_followthrough,neutral,mixed,none,acceptable_win,0.4055282555282408
2020,27,2020.02.27 12:00|PinBarEntry|LONG|78,Bullish Pin Bar (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,VOLATILE,SETUP_A_PLUS,NEWYORK,PinBarEntry,MODE_NONE,DAY_TREND,4.0,0.0,2020.02.27 13:00,2020.02.27 17:34,1648.15,1658.82,1639.27,1658.81,1661.47,8.88000000000011,59.09,0.59,0.06,4.6,WIN,58.5,58.5,0.99,0.24,1.2,1,5.3,YES,0.01,2,2,0,Chandelier Trail: SL=1643.45 (ATRx3.0),chandelier,0.0,RUNNER_EXIT_STANDARD,False,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.0,3.0,3.0,2020.02.27 17:00,,,24.546459158301875,41.02850828147815,-0.08673026886383733,-2.3416288251544293,0.2533783783783753,0.24324324324324947,51.02040816326436,1.0833333333333077,0.24324324324324947,81.66383701188381,1.3761261261260866,3.039414414414378,31.16551900025468,1.3761261261260866,9.596846846846733,12.541050903119686,1.3659909909909609,0.24324324324324947,0.17454954954954227,2.3333333333333077,93.03996407723415,0.17454954954954227,7.109234234234133,97.60358688930124,0.17454954954954227,10.798423423423277,98.40927750410513,7,ENTRY_OPENED:1|EXIT_FILL:1|TP0_PARTIAL:1|TRAIL_BROKER_OK:2|TRAIL_INTERNAL:2,EVERY_UPDATE,0,0,0,False,True,False,True,False,False,tp 1658.81,tp,PinBarEntry,WINNER,WINNER_IMMEDIATE_EXECUTION,10.0,14.12,16.5,3.0,0.84,0.59,0.59,NO,1.0,EXECUTED,neutral,mixed,good,protected_against_reversal,none,acceptable_win,2.2274099099098588
